Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
8/6/2015,4461,4478.35,4430.05,4454,4452.1,184121,8201.12
8/7/2015,4450.7,4468.2,4430.1,4457,4452.95,144268,6415.76
8/10/2015,4470,4507.95,4446,4500,4497.15,241899,10869.76
8/11/2015,4510,4534,4465.05,4507.95,4504.3,216773,9776.04
8/12/2015,4490,4511.4,4416,4444,4447.4,221776,9882.18
8/13/2015,4477,4522.7,4430.15,4522.25,4492.85,261773,11682.47
8/14/2015,4509.5,4589,4490.5,4586.7,4572.5,181419,8238.25
8/17/2015,4584.95,4587,4535.5,4549.95,4549.8,157066,7162.09
8/18/2015,4555,4648,4536,4647.9,4634,172443,7921
8/19/2015,4627,4687,4605.7,4670,4671.85,255128,11858.16
8/20/2015,4630,4692.4,4601.25,4655,4634.15,279387,12986.36
8/21/2015,4611,4613.85,4529,4566,4567.35,310480,14172.67
8/24/2015,4350,4452.55,4207.55,4232,4241.8,930804,40328.65
8/25/2015,4299,4369,4062.1,4199.05,4199,915511,38327.36
8/26/2015,4197,4256.4,4111.4,4206,4207.05,612412,25765.66
8/27/2015,4255,4272.9,4186,4199.9,4203.75,795947,33502.91
8/28/2015,4250,4292,4175,4208.15,4205.85,372560,15761.04
8/31/2015,4199,4233,4142.35,4174.9,4167.2,298281,12464.62
9/1/2015,4170,4199.45,4046.2,4053.2,4061.45,605386,24886.36
9/2/2015,4083,4089.95,4010,4031.1,4030,392078,15847.99
9/3/2015,4059,4162.3,4040.05,4146,4143.25,514445,21192.18
9/4/2015,4137,4139.7,4051.2,4055,4063.3,316141,12873.41
9/7/2015,4067.9,4128.5,4045,4060,4069.6,300049,12274.82
9/8/2015,4106,4155.85,4077,4152,4139.3,292997,12062.72
9/9/2015,4210,4319,4187.65,4296.95,4305.15,589734,25118.82
9/10/2015,4255,4317.95,4225.15,4309.1,4301.45,321362,13747.25
9/11/2015,4329,4360,4308.6,4316.45,4317.75,281728,12188.38
9/14/2015,4330,4347,4285,4310.3,4319.5,207396,8964.65
9/15/2015,4375.5,4419.1,4320,4325,4337.2,734807,32120.15
9/16/2015,4377,4377,4330.1,4357.5,4355.6,418079,18218.53
9/18/2015,4379.3,4478.3,4355.6,4406.15,4400.85,621252,27503.96
9/21/2015,4397.95,4509,4387.1,4508,4490.25,642858,28654.91
9/22/2015,4508,4519.9,4440.5,4443,4473.05,924289,41492.41
9/23/2015,4459,4523,4413.25,4505,4497.65,880695,39420.79
9/24/2015,4499.5,4604,4484.75,4575,4566.65,1098076,50122.57
9/28/2015,4570,4615,4516.75,4540,4536.25,684352,31179.95
9/29/2015,4509.95,4740,4467,4683.45,4682.3,1222175,56057.59
9/30/2015,4710,4763.45,4657.55,4670,4685.6,835777,39356.36
10/1/2015,4720,4721.9,4570,4579,4580.35,1087189,50101.89
10/5/2015,4570,4570,4389,4422,4414.05,1949365,86837.35
10/6/2015,4449,4449,4338.05,4364.95,4354,1159174,50689.04
10/7/2015,4352.25,4437.9,4345.05,4370.45,4364.5,801302,35211.74
10/8/2015,4380,4407,4332.2,4360,4353.75,726218,31737.82
10/9/2015,4390,4397.2,4262.75,4269,4276.35,816648,35211.73
10/12/2015,4310.9,4322.65,4216.5,4229,4231.85,837794,35708.54
10/13/2015,4231,4288,4229.15,4269,4273.85,605082,25782.01
10/14/2015,4270.9,4295.6,4242,4244,4249.75,656029,27970.92
10/15/2015,4269.9,4389.15,4261,4381.05,4377.4,982419,42645.55
10/16/2015,4410,4461,4381.05,4447,4450.25,929525,41158.44
10/19/2015,4465,4478,4408.1,4457,4458.95,594941,26462.44
10/20/2015,4467.9,4516.7,4441.65,4505,4508.75,675597,30311.73
10/21/2015,4489,4524.7,4450,4467,4474.7,316565,14210.93
10/23/2015,4500.8,4508,4371.1,4383,4380.9,621558,27421.26
10/26/2015,4400,4452,4375.8,4393.9,4385.15,535165,23663.64
10/27/2015,4409,4518,4376.6,4517,4497,1290318,57385.09
10/28/2015,4530,4559,4472,4489.95,4495.2,989227,44671.76
10/29/2015,4501.5,4512.55,4419.25,4446,4439.55,907407,40383.43
10/30/2015,4446,4467.9,4400.1,4462,4449,738321,32709.44
11/2/2015,4470,4525.05,4425.2,4482,4495.75,603730,27096.15
